 ,All Time,Last Month,Last Week,Last 48 Hours
Positive,10,0,0,0
Neutral,8,0,0,0
Negative,8,0,0,0
Total,26,0,0,0
Average Valence,0.085,0,0,0
Average Subjectivity,0.299,0,0,0
Offensive,6,0,0,0
Inoffensive,20,0,0,0
Processing Time,15.3 Secs, , , 
